labelx, labely
1,7
2,9
3,11
4,13
5,15
6,17
7,19
8,21
9,23
10,25
11,27
12,29
13,31
14,33
15,35
16,37
17,39
18,41
19,43
20,45
21,47
22,49
23,51
24,53
25,55
26,57
27,59
28,61
29,63
30,65
31,67
32,69
33,71
34,73
35,75
36,77
37,79
38,81
39,83
40,85
41,87
42,89
43,91
44,93
45,95
46,97
47,99
48,101
49,103
50,105
51,107
52,109
53,111
54,113
55,115
56,117
57,119
58,121
59,123
60,125
61,127
62,129
63,131
64,133
65,135
66,137
67,139
68,141
69,143
70,145
71,147
72,149
73,151
74,153
75,155
76,157
77,159
78,161
79,163
80,165
81,167
82,169
83,171
84,173
85,175
86,177
87,179
88,181
89,183
90,185
91,187
92,189
93,191
94,193
95,195
96,197
97,199
98,201
99,203
100,205
