X,Y,Y (Salted),Y (Smoothed)
0.00,1.00,-0.69,3.0475000000000003
1.00,3.00,1.87,4.082000000000001
2.00,5.00,3.90,4.680000000000001
3.00,7.00,7.11,5.825714285714286
4.00,9.00,8.22,8.192857142857143
5.00,11.00,7.67,10.405714285714286
6.00,13.00,12.70,13.040000000000001
7.00,15.00,15.88,14.905714285714286
8.00,17.00,17.36,16.284285714285716
9.00,19.00,22.34,17.76571428571429
10.00,21.00,20.17,19.82857142857143
11.00,23.00,17.87,21.677142857142858
12.00,25.00,18.04,22.722857142857148
13.00,27.00,27.14,23.881428571428568
14.00,29.00,28.82,26.03857142857143
15.00,31.00,24.68,28.704285714285714
16.00,33.00,30.45,32.37571428571429
17.00,35.00,35.27,34.315714285714286
18.00,37.00,36.53,36.35857142857143
19.00,39.00,43.74,39.14
20.00,41.00,40.72,41.86000000000001
21.00,43.00,43.12,43.44285714285714
22.00,45.00,44.15,45.201428571428586
23.00,47.00,49.49,47.25714285714286
24.00,49.00,46.35,48.98714285714285
25.00,51.00,48.84,51.82428571428572
26.00,53.00,58.13,54.10857142857143
27.00,55.00,52.83,55.901428571428575
28.00,57.00,62.98,58.010000000000005
29.00,59.00,60.14,60.230000000000004
30.00,61.00,62.04,61.935714285714276
31.00,63.00,61.11,64.2842857142857
32.00,65.00,64.38,65.06857142857143
33.00,67.00,70.07,66.31714285714285
34.00,69.00,69.27,68.26142857142857
35.00,71.00,68.47,70.58571428571427
36.00,73.00,68.88,72.7685714285714
37.00,75.00,75.65,74.16714285714285
38.00,77.00,77.38,75.86285714285714
39.00,79.00,79.66,78.15428571428572
40.00,81.00,79.86,80.86285714285714
41.00,83.00,81.14,83.66428571428571
42.00,85.00,84.51,85.61999999999999
43.00,87.00,87.84,87.33000000000001
44.00,89.00,95.26,90.07285714285715
45.00,91.00,91.07,91.43714285714285
46.00,93.00,91.63,93.78428571428572
47.00,95.00,99.06,95.64714285714285
48.00,97.00,90.69,96.85857142857142
49.00,99.00,100.94,98.52714285714285
50.00,101.00,100.88,101.35714285714286
51.00,103.00,103.74,102.54
52.00,105.00,102.75,105.92571428571429
53.00,107.00,111.44,107.23714285714286
54.00,109.00,107.34,109.00428571428571
55.00,111.00,114.39,111.11571428571428
56.00,113.00,110.12,113.38
57.00,115.00,113.25,114.70000000000002
58.00,117.00,118.52,117.82428571428571
59.00,119.00,118.60,119.54285714285716
60.00,121.00,120.68,121.76142857142857
61.00,123.00,129.21,124.02714285714285
62.00,125.00,126.42,125.46000000000001
63.00,127.00,125.65,127.25000000000001
64.00,129.00,129.11,128.75285714285715
65.00,131.00,128.55,131.08142857142857
66.00,133.00,131.13,133.15857142857143
67.00,135.00,131.20,135.41142857142856
68.00,137.00,145.51,136.18714285714285
69.00,139.00,140.96,139.11714285714285
70.00,141.00,141.42,141.38285714285712
71.00,143.00,134.54,143.94571428571427
72.00,145.00,149.06,144.75571428571428
73.00,147.00,146.99,146.48714285714283
74.00,149.00,149.14,148.54285714285717
75.00,151.00,151.18,151.68142857142857
76.00,153.00,153.08,153.15714285714284
77.00,155.00,155.81,155.25857142857143
78.00,157.00,156.51,156.8885714285714
79.00,159.00,159.39,159.43428571428572
80.00,161.00,161.70,161.67714285714285
81.00,163.00,160.55,163.96285714285713
82.00,165.00,169.00,165.9257142857143
83.00,167.00,168.78,167.9085714285714
84.00,169.00,171.81,169.6914285714286
85.00,171.00,170.25,172.06428571428572
86.00,173.00,173.27,172.71142857142857
87.00,175.00,174.18,174.54
88.00,177.00,177.16,175.92714285714285
89.00,179.00,173.53,178.04857142857142
90.00,181.00,181.58,179.87571428571428
91.00,183.00,181.52,182.07
92.00,185.00,185.10,184.98
93.00,187.00,186.06,188.55714285714285
94.00,189.00,189.54,190.45714285714283
95.00,191.00,197.53,192.71571428571426
96.00,193.00,198.57,194.88714285714286
97.00,195.00,194.88,196.35833333333335
98.00,197.00,197.33,197.72200000000004
99.00,199.00,200.30,197.76999999999998
